test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd
DIMSUM_tests	0.14589840539207627	0.0586059510110143	0.2813578826237054	0.5140555646884761	8.21962847279303e-5	0.6585225086571759	0.7134244372990354	0.01	sim7	rep1	rd1
ROSACE_tests	0.06962025316455696	0.13496629952326156	0.10603320729903008	0.6893802400131515	0	0.6036499766027141	0.3402973081558859	0.05	sim7	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim7	rep1	rd1
ENRICH2_tests	0.16184448462929477	0.04274206805852375	0.3781029097484794	0.4173105375637021	0	0.7002587912924341	0.791080755323423	0.05	sim7	rep1	rd1
DIMSUM_tests	0.16192668091402268	0.04257767548906789	0.37966463915831006	0.41574880815387144	8.21962847279303e-5	0.7010168462589164	0.7918006430868167	0.05	sim7	rep1	rd1
ROSACE_tests	0	0.19053098799934243	0	0.8094690120006576	0	NA	0	0	sim8	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim8	rep1	rd1
ENRICH2_tests	0	0.19053098799934243	0	0.8094690120006576	0	NA	0	0	sim8	rep1	rd1
DIMSUM_tests	0	0.19053098799934243	0	0.8092224231464737	2.4658885418379087e-4	NA	0	0	sim8	rep1	rd1
ROSACE_tests	0.02786454052276837	0.16266644747657405	0.03402926187736314	0.7754397501232945	0	0.5498007968127491	0.1462467644521139	0.005	sim8	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim8	rep1	rd1
ENRICH2_tests	0.13340457011343088	0.05712641788591156	0.2556304455038632	0.5538385664967943	0	0.6570885273610817	0.7001725625539258	0.005	sim8	rep1	rd1
DIMSUM_tests	0.1334867663981588	0.05704422160118363	0.25710997862896595	0.5521124445175078	2.4658885418379087e-4	0.6582491582491583	0.7006039689387402	0.005	sim8	rep1	rd1
ROSACE_tests	0.0360841689955614	0.15444681900378102	0.04866020055893474	0.7608088114417229	0	0.574199806013579	0.18938740293356343	0.01	sim8	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim8	rep1	rd1
ENRICH2_tests	0.14006246917639323	0.0504685188229492	0.2885911556797633	0.5208778563208943	0	0.6732502396931926	0.7351164797238999	0.01	sim8	rep1	rd1
DIMSUM_tests	0.14030905803057703	0.05022192996876541	0.28990629623541014	0.5193161269110637	2.4658885418379087e-4	0.6738632021398547	0.7364106988783434	0.01	sim8	rep1	rd1
ROSACE_tests	0.07257931941476245	0.11795166858457998	0.1134308729245438	0.6960381390761138	0	0.6098099867432611	0.3809318377911993	0.05	sim8	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim8	rep1	rd1
ENRICH2_tests	0.15337826730231793	0.03715272069702449	0.3866513233601841	0.4228176886404735	0	0.7159817351598173	0.8050043140638481	0.05	sim8	rep1	rd1
DIMSUM_tests	0.15346046358704588	0.03707052441229656	0.3882952490547427	0.420927174091731	2.4658885418379087e-4	0.7167349415870126	0.8054357204486627	0.05	sim8	rep1	rd1
ROSACE_tests	0	0.19414762452737136	0	0.8058523754726287	0	NA	0	0	sim9	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim9	rep1	rd1
ENRICH2_tests	0	0.19414762452737136	0	0.8058523754726287	0	NA	0	0	sim9	rep1	rd1
DIMSUM_tests	0	0.19414762452737136	0	0.8058523754726287	0	NA	0	0	sim9	rep1	rd1
ROSACE_tests	0.02934407364787111	0.16480355087950024	0.03715272069702449	0.7686996547756041	0	0.5587144622991347	0.15114309906858597	0.005	sim9	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim9	rep1	rd1
