test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd
SLR_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim5	rep3	rd1
ENRICH2_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim5	rep3	rd1
DIMSUM_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim5	rep3	rd1
EDGER_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim5	rep3	rd1
LIMMA_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim5	rep3	rd1
ROSACE_tests	0.11614335032056552	0.0702778234423804	0.00312345881966135	0.8104553674173928	0	0.02618883528600965	0.623015873015873	0.005	sim5	rep3	rd1
SLR_tests	0.00197271083347032	0.1844484629294756	0.00131514055564688	0.8122636856814072	0	0.4	0.01058201058201058	0.005	sim5	rep3	rd1
ENRICH2_tests	0.07989478875554824	0.10652638500739768	0.04479697517672201	0.768781851060332	0	0.3592617007251154	0.4285714285714285	0.005	sim5	rep3	rd1
DIMSUM_tests	0.03353608416899556	0.15288508959395036	0	0.8135788262370541	0	0	0.17989417989417988	0.005	sim5	rep3	rd1
EDGER_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.005	sim5	rep3	rd1
LIMMA_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.005	sim5	rep3	rd1
ROSACE_tests	0.13176064441887228	0.05466052934407365	0.00698668420187407	0.80659214203518	0	0.05035545023696682	0.7067901234567902	0.01	sim5	rep3	rd1
SLR_tests	0.00402761795166858	0.18239355581127736	0.00230149597238204	0.8112773302646721	0	0.3636363636363636	0.02160493827160494	0.01	sim5	rep3	rd1
ENRICH2_tests	0.08827880979779713	0.09814236396514878	0.05424954792043399	0.7593292783166201	0	0.3806228373702422	0.4735449735449735	0.01	sim5	rep3	rd1
DIMSUM_tests	0.04849580798947887	0.13792536577346703	2.4658885418379087e-4	0.8133322373828703	0	0.00505902192242833	0.2601410934744268	0.01	sim5	rep3	rd1
EDGER_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.01	sim5	rep3	rd1
LIMMA_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.01	sim5	rep3	rd1
ROSACE_tests	0.1660364951504192	0.02038467861252671	0.03748150583593621	0.7760973204011179	0	0.18416801292407103	0.890652557319224	0.05	sim5	rep3	rd1
SLR_tests	0.02243958573072497	0.16398158803222093	0.01323360184119677	0.8003452243958573	0	0.3709677419354839	0.12037037037037038	0.05	sim5	rep3	rd1
ENRICH2_tests	0.11080059181325004	0.07562058194969587	0.0821962847279303	0.7313825415091237	0	0.42589437819420783	0.5943562610229277	0.05	sim5	rep3	rd1
DIMSUM_tests	0.09058030577017918	0.09584086799276673	0.00304126253493342	0.8105375637021207	0	0.0324846356453029	0.4858906525573192	0.05	sim5	rep3	rd1
EDGER_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.05	sim5	rep3	rd1
LIMMA_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.05	sim5	rep3	rd1
ROSACE_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0	sim6	rep3	rd1
SLR_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0	sim6	rep3	rd1
ENRICH2_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0	sim6	rep3	rd1
DIMSUM_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0	sim6	rep3	rd1
EDGER_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0	sim6	rep3	rd1
LIMMA_tests	0	0.1760644418872267	0	0.8239355581127733	0	NA	0	0	sim6	rep3	rd1
ROSACE_tests	0.10249876705572908	0.07356567483149762	0.00616472135459477	0.8177708367581785	0	0.05673222390317701	0.5821661998132587	0.005	sim6	rep3	rd1
SLR_tests	0.00304126253493342	0.17302317935229328	0.00139733684037481	0.8225382212723985	0	0.31481481481481477	0.01727357609710551	0.005	sim6	rep3	rd1
