test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
SLR_tests	0.10220673635307782	0.1367181018748963	0.00331840053094408	0.7577567612410818	0	0.03144654088050314	0.4277777777777778	0.05	sim4
ENRICH2_tests	0.1095072175211548	0.1294176207068193	0.06139040982246557	0.6996847519495603	0	0.3592233009708738	0.45833333333333337	0.05	sim4
EDGER_tests	0.07051601128256181	0.16840882694541232	0	0.7610751617720258	0	0	0.2951388888888889	0.05	sim4
LIMMA_tests	0.15828770532603284	0.08063713290194126	0.00182512029201924	0.7592500414800066	0	0.01139896373056994	0.6625	0.05	sim4
ROSACE_tests	0	0.24888003982080636	0	0.7511199601791936	0	NA	0	0	sim5
SLR_tests	0	0.24888003982080636	0	0.7511199601791936	0	NA	0	0	sim5
ENRICH2_tests	1.6592002654720425e-4	0.24871411979425917	1.6592002654720425e-4	0.7509540401526464	0	0.5	6.666666666666668e-4	0	sim5
EDGER_tests	0	0.24888003982080636	0	0.7511199601791936	0	NA	0	0	sim5
LIMMA_tests	0	0.24888003982080636	0	0.7511199601791936	0	NA	0	0	sim5
ROSACE_tests	0.24274099883855985	0.00613904098224655	0.01310768209722913	0.7380122780819645	0	0.05123216601815823	0.9753333333333334	0.005	sim5
SLR_tests	0.01144848183175709	0.23743155798904927	1.6592002654720425e-4	0.7509540401526464	0	0.01428571428571428	0.046	0.005	sim5
ENRICH2_tests	0.0743321718931475	0.17454786792765886	0.0313588850174216	0.719761075161772	0	0.2967032967032967	0.2986666666666667	0.005	sim5
EDGER_tests	0.00232288037166085	0.24655715944914552	0	0.7511199601791936	0	0	0.00933333333333333	0.005	sim5
LIMMA_tests	0.08345777335324374	0.16542226646756264	0	0.7511199601791936	0	0	0.33533333333333337	0.005	sim5
ROSACE_tests	0.24406835905093743	0.00481168076986892	0.02140368342458935	0.7297162767546043	0	0.080625	0.9806666666666668	0.01	sim5
SLR_tests	0.0315248050439688	0.21735523477683755	4.977600796416127e-4	0.750622200099552	0	0.0155440414507772	0.12666666666666665	0.01	sim5
ENRICH2_tests	0.08544881367181019	0.1634312261489962	0.03832752613240418	0.7127924340467895	0	0.3096514745308311	0.3433333333333333	0.01	sim5
EDGER_tests	0.00680272108843537	0.242077318732371	0	0.7511199601791936	0	0	0.02733333333333333	0.01	sim5
LIMMA_tests	0.10336817653890824	0.14551186328189814	0	0.7511199601791936	0	0	0.4153333333333334	0.01	sim5
ROSACE_tests	0.2463912394225983	0.00248880039820806	0.06404513024722083	0.6870748299319728	0	0.2063067878140032	0.99	0.05	sim5
SLR_tests	0.1018748962999834	0.14700514352082297	0.00315248050439688	0.7479674796747967	0	0.03001579778830963	0.4093333333333333	0.05	sim5
ENRICH2_tests	0.11299153807864608	0.13588850174216027	0.05989712958354073	0.6912228305956529	0	0.3464491362763915	0.454	0.05	sim5
EDGER_tests	0.07084785133565621	0.17803218848515015	1.6592002654720425e-4	0.7509540401526464	0	0.00233644859813084	0.2846666666666667	0.05	sim5
LIMMA_tests	0.15729218516674962	0.09158785465405676	0.00265472042475526	0.7484652397544383	0	0.01659751037344398	0.632	0.05	sim5
ROSACE_tests	0	0.27542724406835906	0	0.7245727559316409	0	NA	0	0	sim6
SLR_tests	0	0.27542724406835906	0	0.7245727559316409	0	NA	0	0	sim6
ENRICH2_tests	1.6592002654720425e-4	0.27526132404181186	0	0.7245727559316409	0	0	6.024096385542169e-4	0	sim6
EDGER_tests	0	0.27542724406835906	0	0.7245727559316409	0	NA	0	0	sim6
LIMMA_tests	0	0.27542724406835906	0	0.7245727559316409	0	NA	0	0	sim6
ROSACE_tests	0.26879044300647087	0.00663680106188817	0.01095072175211548	0.7136220341795255	0	0.03914590747330961	0.9759036144578312	0.005	sim6
SLR_tests	0.0159283225485316	0.25949892151982745	0	0.7245727559316409	0	0	0.05783132530120481	0.005	sim6
ENRICH2_tests	0.09092417454786791	0.18450306952049111	0.03036336485813837	0.6942093910735025	0	0.25034199726402184	0.3301204819277108	0.005	sim6
EDGER_tests	0.00431392069022731	0.27111332337813177	0	0.7245727559316409	0	0	0.01566265060240964	0.005	sim6
LIMMA_tests	0.10320225651236103	0.17222498755599802	0	0.7245727559316409	0	0	0.3746987951807229	0.005	sim6
ROSACE_tests	0.27011780321884854	0.00530944084951053	0.01841712294673967	0.7061556329849012	0	0.06382978723404253	0.9807228915662652	0.01	sim6
SLR_tests	0.03782976605276256	0.23759747801559647	1.6592002654720425e-4	0.7244068359050937	0	0.00436681222707423	0.13734939759036144	0.01	sim6
ENRICH2_tests	0.09971793595486976	0.1757093081134893	0.03451136552181848	0.6900613904098225	0	0.25710754017305315	0.3620481927710843	0.01	sim6
EDGER_tests	0.01775344284055085	0.2576738012278082	0	0.7245727559316409	0	0	0.06445783132530121	0.01	sim6
LIMMA_tests	0.12294673967147834	0.1524805043968807	1.6592002654720425e-4	0.7244068359050937	0	0.0013477088948787	0.44638554216867465	0.01	sim6
ROSACE_tests	0.27293844367015097	0.00248880039820806	0.0545876887340302	0.6699850671976108	0	0.16666666666666669	0.9909638554216866	0.05	sim6
SLR_tests	0.12742658038825286	0.1480006636801062	0.00331840053094408	0.7212543554006968	0	0.02538071065989847	0.4626506024096385	0.05	sim6
ENRICH2_tests	0.1280902604944417	0.14733698357391736	0.05558320889331342	0.6689895470383276	0	0.30261969286359536	0.46506024096385534	0.05	sim6
EDGER_tests	0.08644433383109341	0.18898291023726563	1.6592002654720425e-4	0.7244068359050937	0	0.00191570881226053	0.31385542168674696	0.05	sim6
LIMMA_tests	0.18616226978596315	0.08926497428239588	0.00182512029201924	0.7227476356396217	0	0.00970873786407766	0.6759036144578313	0.05	sim6
ROSACE_tests	0	0.2422432387589182	0	0.7577567612410818	0	NA	0	0	sim7
