test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
ROSACE_effects	0	0.7701032735416857	0.2812823386967	sim4	rep3	rd3	nopos
ROSACENP_effects	0	0.6722204525365689	0.2819102107514014	sim4	rep3	rd3	nopos
SLR_effects	0	0.7749107385406244	0.2822301623392423	sim4	rep3	rd3	nopos
EDGER_effects	0	0.788996914313095	0.27740202460293906	sim4	rep3	rd3	nopos
LIMMA_effects	0	0.7851880653995793	0.2820163406502168	sim4	rep3	rd3	nopos
DIMSUM_effects	0	0.35713845060864147	0.2078106754206114	sim4	rep3	rd3	nopos
ENRICH2_effects	0	0.7778793569286082	0.30903427539600953	sim5	rep3	rd3	nopos
ROSACE_effects	0	0.8097996298819752	0.31307323371125745	sim5	rep3	rd3	nopos
ROSACENP_effects	0	0.716051141017974	0.3145777021760865	sim5	rep3	rd3	nopos
SLR_effects	0	0.8189669158586378	0.3153158556823874	sim5	rep3	rd3	nopos
EDGER_effects	0	0.8318433649119937	0.3138518445282004	sim5	rep3	rd3	nopos
LIMMA_effects	0	0.8271758987925254	0.3152149691110717	sim5	rep3	rd3	nopos
DIMSUM_effects	1	0.38571499226690587	0.24255698558896224	sim5	rep3	rd3	nopos
ENRICH2_effects	0	0.7500655609497971	0.30042146309367	sim6	rep3	rd3	nopos
ROSACE_effects	0	0.7922288508279589	0.30414528707603655	sim6	rep3	rd3	nopos
ROSACENP_effects	0	0.687560883213102	0.3045651585564185	sim6	rep3	rd3	nopos
SLR_effects	0	0.7966689613351227	0.3049741925598482	sim6	rep3	rd3	nopos
EDGER_effects	0	0.8111852736319511	0.30239618423901593	sim6	rep3	rd3	nopos
LIMMA_effects	0	0.8025296113653975	0.30507060747818077	sim6	rep3	rd3	nopos
DIMSUM_effects	0	0.379781258387342	0.22344371446880876	sim6	rep3	rd3	nopos
ENRICH2_effects	0	0.7924748745752841	0.31813140363936976	sim7	rep3	rd3	nopos
ROSACE_effects	0	0.8291426173453617	0.3185877936724107	sim7	rep3	rd3	nopos
ROSACENP_effects	0	0.7246138022912259	0.3186341007168887	sim7	rep3	rd3	nopos
SLR_effects	0	0.8121224904949532	0.3186819838937278	sim7	rep3	rd3	nopos
EDGER_effects	0	0.8220725141279205	0.3177090709317157	sim7	rep3	rd3	nopos
LIMMA_effects	0	0.8244454510797756	0.3187105564623035	sim7	rep3	rd3	nopos
DIMSUM_effects	0	0.4166356041044687	0.2739582034311231	sim7	rep3	rd3	nopos
ENRICH2_effects	0	0.7873106363434199	0.305240639986703	sim8	rep3	rd3	nopos
ROSACE_effects	0	0.8130041518512322	0.305572995989232	sim8	rep3	rd3	nopos
ROSACENP_effects	0	0.7056192026398748	0.3055207341807681	sim8	rep3	rd3	nopos
SLR_effects	0	0.8179317208858063	0.3055766161493495	sim8	rep3	rd3	nopos
EDGER_effects	0	0.8315821335956406	0.30557662860952467	sim8	rep3	rd3	nopos
LIMMA_effects	0	0.824666701488554	0.3055857925891073	sim8	rep3	rd3	nopos
DIMSUM_effects	1	0.4272161158538893	0.25735281380516567	sim8	rep3	rd3	nopos
ENRICH2_effects	0	0.7408573796370642	0.28819330667458204	sim9	rep3	rd3	nopos
ROSACE_effects	0	0.7586301108158933	0.2945723308665116	sim9	rep3	rd3	nopos
ROSACENP_effects	0	0.678242407992763	0.2950835619462903	sim9	rep3	rd3	nopos
SLR_effects	0	0.7845230941180311	0.2952380433019143	sim9	rep3	rd3	nopos
EDGER_effects	0	0.8087546828369563	0.2943048531262867	sim9	rep3	rd3	nopos
LIMMA_effects	0	0.7873498057922357	0.2952799706258929	sim9	rep3	rd3	nopos
DIMSUM_effects	0	0.35705825038981326	0.20581080935375545	sim9	rep3	rd3	nopos
ENRICH2_effects	0	0.651308162210567	0.32994022531236256	sim1	rep1	rd1	pos
ROSACE_effects	4	0.6980177841931945	0.3280280520668787	sim1	rep1	rd1	pos
ROSACENP_effects	4	0.5733952740182492	0.3140417475610766	sim1	rep1	rd1	pos
SLR_effects	4	0.6508633335449874	0.32632658139236725	sim1	rep1	rd1	pos
DIMSUM_effects	87	0.2616298358120252	0.14485204398259277	sim1	rep1	rd1	pos
ENRICH2_effects	0	0.5026376848115957	0.22727667401907428	sim10	rep1	rd1	pos
ROSACE_effects	8	0.548557631626195	0.22539786892596883	sim10	rep1	rd1	pos
ROSACENP_effects	8	0.47853932604136423	0.22259477039267447	sim10	rep1	rd1	pos
SLR_effects	8	0.49869832878295695	0.22295610367486707	sim10	rep1	rd1	pos
DIMSUM_effects	44	0.13777125298594772	0.08627384275528613	sim10	rep1	rd1	pos
ENRICH2_effects	0	0.5405172628801379	0.2592286232458306	sim2	rep1	rd1	pos
ROSACE_effects	9	0.5853181495264468	0.25258733270157624	sim2	rep1	rd1	pos
ROSACENP_effects	9	0.5129208445627047	0.24857847620488727	sim2	rep1	rd1	pos
SLR_effects	9	0.5368996266861695	0.2497000932942781	sim2	rep1	rd1	pos
DIMSUM_effects	54	0.17569791892742748	0.10954954222966436	sim2	rep1	rd1	pos
ENRICH2_effects	0	0.5736125685130796	0.27070990371878406	sim3	rep1	rd1	pos
ROSACE_effects	7	0.6239953479894053	0.27187974319782265	sim3	rep1	rd1	pos
