test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
EDGER_effects	0	0.8660517912992096	0.6876200177028475	sim5	rep3	rd3	nopos
LIMMA_effects	0	0.8632136142851483	0.6876562429890077	sim5	rep3	rd3	nopos
DIMSUM_effects	0	0.6755414662082323	0.6200514315412066	sim5	rep3	rd3	nopos
ENRICH2_effects	0	0.8741344086627064	0.6826548517853024	sim6	rep3	rd3	nopos
ROSACE_effects	0	0.8737879672221063	0.6833717038811356	sim6	rep3	rd3	nopos
ROSACENP_effects	0	0.8725304211185049	0.6834262321347258	sim6	rep3	rd3	nopos
SLR_effects	0	0.8178066873839455	0.683291957004532	sim6	rep3	rd3	nopos
EDGER_effects	0	0.8643373422882898	0.6832840010485659	sim6	rep3	rd3	nopos
LIMMA_effects	0	0.8628945773178806	0.6833999935349241	sim6	rep3	rd3	nopos
DIMSUM_effects	0	0.676163575723356	0.620436714109259	sim6	rep3	rd3	nopos
ENRICH2_effects	0	0.8759968296206024	0.6864266341740513	sim7	rep3	rd3	nopos
ROSACE_effects	0	0.8725899179047427	0.6870696398195798	sim7	rep3	rd3	nopos
ROSACENP_effects	0	0.8723116541924977	0.6872060771798456	sim7	rep3	rd3	nopos
SLR_effects	0	0.8191279621339108	0.6870153395990313	sim7	rep3	rd3	nopos
EDGER_effects	0	0.8654070140319476	0.6871845968533469	sim7	rep3	rd3	nopos
LIMMA_effects	0	0.8656629446387579	0.6871084131662499	sim7	rep3	rd3	nopos
DIMSUM_effects	0	0.6723294256600166	0.6183209847682941	sim7	rep3	rd3	nopos
ENRICH2_effects	0	0.8662414239865661	0.6691424731709871	sim8	rep3	rd3	nopos
ROSACE_effects	0	0.8672138090829844	0.6698007961934405	sim8	rep3	rd3	nopos
ROSACENP_effects	0	0.8650305959417268	0.6698755796540958	sim8	rep3	rd3	nopos
SLR_effects	0	0.8087067403011177	0.6698059706063063	sim8	rep3	rd3	nopos
EDGER_effects	0	0.8559501306405365	0.6698119573124732	sim8	rep3	rd3	nopos
LIMMA_effects	0	0.852440120516665	0.6697447677586796	sim8	rep3	rd3	nopos
DIMSUM_effects	0	0.6584506173707776	0.5985219206005563	sim8	rep3	rd3	nopos
ENRICH2_effects	0	0.8710565019141101	0.6812259706474132	sim9	rep3	rd3	nopos
ROSACE_effects	0	0.8714046980896238	0.6819681345457893	sim9	rep3	rd3	nopos
ROSACENP_effects	0	0.8709133495659693	0.6819937796515919	sim9	rep3	rd3	nopos
SLR_effects	0	0.8155839563452234	0.6817480545644716	sim9	rep3	rd3	nopos
EDGER_effects	0	0.8631308408247711	0.6819559757507208	sim9	rep3	rd3	nopos
LIMMA_effects	0	0.8634154953800272	0.6819675094580966	sim9	rep3	rd3	nopos
DIMSUM_effects	0	0.675036251830268	0.6160628789731889	sim9	rep3	rd3	nopos
ENRICH2_effects	0	0.7939099348788892	0.6839528397404026	sim1	rep1	rd1	pos
ROSACE_effects	0	0.8327377065451799	0.6887546383762452	sim1	rep1	rd1	pos
ROSACENP_effects	0	0.6707072890461063	0.6545575123829601	sim1	rep1	rd1	pos
SLR_effects	0	0.7939099348788892	0.6839528397404026	sim1	rep1	rd1	pos
DIMSUM_effects	5	0.7910140789202396	0.6839905721814968	sim1	rep1	rd1	pos
ENRICH2_effects	0	0.7968279418051403	0.7050807195646949	sim10	rep1	rd1	pos
ROSACE_effects	0	0.834425767361797	0.7105739531486184	sim10	rep1	rd1	pos
ROSACENP_effects	0	0.6749716229022293	0.6722937270050823	sim10	rep1	rd1	pos
SLR_effects	0	0.7968279418051403	0.7050807195646949	sim10	rep1	rd1	pos
DIMSUM_effects	19	0.7979032018594039	0.7054188394031042	sim10	rep1	rd1	pos
ENRICH2_effects	0	0.7789574864328203	0.6609369780780043	sim2	rep1	rd1	pos
ROSACE_effects	0	0.8205903694748714	0.6662304592158511	sim2	rep1	rd1	pos
ROSACENP_effects	0	0.6656635296917726	0.6372789082235958	sim2	rep1	rd1	pos
SLR_effects	0	0.7789574864328203	0.6609369780780043	sim2	rep1	rd1	pos
DIMSUM_effects	2	0.7753015444927243	0.6609053382669134	sim2	rep1	rd1	pos
ENRICH2_effects	0	0.7870749565535728	0.675830839455095	sim3	rep1	rd1	pos
ROSACE_effects	1	0.8278232588391387	0.6812907761316825	sim3	rep1	rd1	pos
