test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
SLR_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.05	sim10
ENRICH2_tests	0.1652145323031399	0.02120664145980601	0.13924050632911392	0.6743383199079401	0	0.45734341252699784	0.8862433862433862	0.05	sim10
EDGER_tests	0.07726450764425448	0.10915666611869144	0.00994575045207956	0.8036330757849746	0	0.11404335532516494	0.4144620811287478	0.05	sim10
LIMMA_tests	0.1193490054249548	0.06707216833799112	0.02737136281440079	0.7862074634226532	0	0.1865546218487395	0.6402116402116401	0.05	sim10
ROSACE_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0	sim2
SLR_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0	sim2
ENRICH2_tests	0.0043564030905803	0.2079566003616637	7.397665625513727e-4	0.7869472299852047	0	0.14516129032258066	0.02051877661633759	0	sim2
EDGER_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0	sim2
LIMMA_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0	sim2
ROSACE_tests	0.2061482820976492	0.00616472135459477	0.08047016274864376	0.7072168337991123	0	0.2807570977917981	0.9709639953542392	0.005	sim2
SLR_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0.005	sim2
ENRICH2_tests	0.17162584251191845	0.0406871609403255	0.08605951011014303	0.701627486437613	0	0.3339712918660287	0.808362369337979	0.005	sim2
EDGER_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0.005	sim2
LIMMA_tests	0.09000493177708367	0.12230807167516028	0.00337004767384514	0.7843169488739109	0	0.03609154929577465	0.4239256678281068	0.005	sim2
ROSACE_tests	0.20787440407693572	0.00443859937530823	0.0971560085484136	0.6905309879993424	0	0.3185125303152789	0.9790940766550522	0.01	sim2
SLR_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0.01	sim2
ENRICH2_tests	0.17696860101923392	0.03534440243301003	0.0974025974025974	0.6902843991451586	0	0.3550029958058718	0.8335269066976383	0.01	sim2
EDGER_tests	0.01241163899391747	0.19990136445832649	0	0.7876869965477561	0	0	0.05845915602013163	0.01	sim2
LIMMA_tests	0.10077264507644254	0.1115403583758014	0.00600032878513891	0.7816866677626171	0	0.05619707467282525	0.4746418892760356	0.01	sim2
ROSACE_tests	0.21042248890350157	0.00189051454874239	0.16595429886569127	0.6217326976820647	0	0.4409259663682027	0.9910956252419668	0.05	sim2
SLR_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0.05	sim2
ENRICH2_tests	0.1895446325826073	0.02276837086963669	0.14063784316948874	0.6470491533782673	0	0.4259397560368434	0.8927603561749903	0.05	sim2
EDGER_tests	0.07940161104718067	0.13291139240506328	0.0133157981259247	0.7743711984218313	0	0.14361702127659573	0.3739837398373984	0.05	sim2
LIMMA_tests	0.12797961532138746	0.08433338813085649	0.03279631760644419	0.7548906789413119	0	0.2039877300613497	0.602787456445993	0.05	sim2
ROSACE_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0	sim3
SLR_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0	sim3
ENRICH2_tests	0.00295906625020549	0.17137925365773468	9.863554167351637e-4	0.8246753246753247	0	0.25	0.01697312588401697	0	sim3
EDGER_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0	sim3
LIMMA_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0	sim3
ROSACE_tests	0.1689955614006247	0.00534275850731546	0.0821962847279303	0.7434653953641296	0	0.32722513089005234	0.9693540782649692	0.005	sim3
SLR_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0.005	sim3
ENRICH2_tests	0.13841854348183463	0.03591977642610554	0.09016932434653954	0.7354923557455203	0	0.3944624235886372	0.7939651107967939	0.005	sim3
EDGER_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0.005	sim3
LIMMA_tests	0.0846621732697682	0.08967614663817196	0.00189051454874239	0.8237711655433174	0	0.02184235517568851	0.4856199905704856	0.005	sim3
ROSACE_tests	0.17047509452572743	0.00386322538221272	0.10241657077100116	0.7232451093210587	0	0.3753012048192771	0.9778406412069778	0.01	sim3
SLR_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0.01	sim3
ENRICH2_tests	0.1429393391418708	0.03139898076606937	0.10299194476409666	0.7226697353279632	0	0.41878342245989303	0.81989627534182	0.01	sim3
EDGER_tests	0.00764425447969751	0.16669406542824264	0	0.8256616800920599	0	0	0.04384724186704385	0.01	sim3
LIMMA_tests	0.09329278316620088	0.08104553674173927	0.00410981423639651	0.8215518658556633	0	0.04219409282700422	0.5351249410655351	0.01	sim3
